Timestamp PowerL,PowerR, Heading,Distance,DriveSpeed,TurnSpeed,FrontRange,StageNumber,StageDistance,TargetScore,TargetX,TargetY,
1516109793775,0.0078125,0.0078125,5.6105937500000005,-0.95468075,-4.855205465483839,30.825000000000003,0.0,0,-0.9570615,0.0,-320.0,-200.0,
1516109793794,0.0078125,0.0078125,6.1862562500000005,-1.04991075,-5.108220463993563,29.55,0.0,0,-1.04991075,0.0,-320.0,-200.0,
1516109793815,0.0078125,0.0078125,6.815337500000001,-1.1570445,-4.915350469701663,28.425,0.0,0,-1.15942525,0.0,-320.0,-200.0,
1516109793834,-0.002604166666666666,0.018229166666666664,7.3444875000000005,-1.21180175,-1.4048519985542844,27.075000000000003,0.0,0,-1.21180175,0.0,-320.0,-200.0,
1516109793855,-0.010416666666666668,0.026041666666666668,7.869943750000001,-1.247513,-2.2865992748577333,23.962500000000002,0.0,0,-1.247513,0.0,-320.0,-200.0,
1516109793876,-0.033854166666666664,0.049479166666666664,8.349893750000001,-1.314174,-3.780843672456576,21.3625,0.0,0,-1.314174,0.0,-320.0,-200.0,
1516109793894,-0.05989583333333333,0.07552083333333333,8.71329375,-1.3760735,-3.3907176300938207,19.337500000000002,0.0,0,-1.37845425,0.0,-320.0,-200.0,
1516109793925,-0.07552083333333333,0.09114583333333333,9.251687500000001,-1.47368425,-2.6572724101848624,16.2625,0.0,0,-1.47368425,0.0,-320.0,-200.0,
1516109793943,-0.0859375,0.1015625,9.533625,-1.5189185,-2.3986499250658038,14.512500000000001,0.0,0,-1.52129925,0.0,-320.0,-200.0,
1516109793955,-0.0859375,0.1015625,9.693200000000001,-1.5474875000000001,-2.234580502856875,13.412500000000001,0.0,0,-1.5474875000000001,0.0,-320.0,-200.0,
1516109793975,-0.09375,0.109375,9.935587500000002,-1.5760565,-1.2771236220261246,10.825000000000001,0.0,0,-1.5784372500000001,0.0,-320.0,-200.0,
1516109793995,-0.109375,0.125,10.1333625,-1.61176775,-1.8208761161781297,9.3,0.0,0,-1.61176775,0.0,-320.0,-200.0,
1516109794015,-0.12760416666666666,0.14322916666666666,10.295137500000001,-1.62605225,-1.1174147975617055,6.5,0.0,0,-1.62605225,0.0,-320.0,-200.0,
1516109794056,-0.15104166666666666,0.16666666666666666,10.474993750000001,-1.62605225,-1.1174147975617055,2.1625,0.0,0,-1.62605225,0.0,-320.0,-200.0,
1516109794065,-0.17708333333333334,0.19270833333333334,10.490456250000001,-1.62605225,-1.1174147975617055,1.625,0.0,0,-1.62605225,0.0,-320.0,-200.0,
1516109794075,-0.18489583333333334,0.20052083333333334,10.503300000000001,-1.6236715,-0.06263755201159746,0.5625,0.0,0,-1.62129075,0.0,-320.0,-200.0,
1516109794095,-0.20833333333333334,0.22395833333333334,10.4842875,-1.599864,0.936782202810445,-2.1750000000000003,0.0,0,-1.599864,0.0,-320.0,-200.0,
1516109794115,-0.21875,0.234375,10.42519375,-1.58319875,0.9548111533332665,-4.0,0.0,0,-1.58319875,0.0,-320.0,-200.0,
1516109794149,-0.21875,0.234375,10.224887500000001,-1.533203,1.8554491519644618,-7.45,0.0,0,-1.533203,0.0,-320.0,-200.0,
1516109794166,-0.19270833333333334,0.20833333333333334,10.080731250000001,-1.50701475,1.3286918182832907,-9.3375,0.0,0,-1.50701475,0.0,-320.0,-200.0,
1516109794174,-0.19270833333333334,0.20833333333333334,10.00414375,-1.49749175,1.329136891469406,-9.9,0.0,0,-1.49749175,0.0,-320.0,-200.0,
1516109794194,-0.19270833333333334,0.20833333333333334,9.79686875,-1.46892275,1.7252124132683566,-10.600000000000001,0.0,0,-1.46892275,0.0,-320.0,-200.0,
1516109794215,-0.19270833333333334,0.20833333333333334,9.562475000000001,-1.43083075,1.6955550214103217,-11.75,0.0,0,-1.43083075,0.0,-320.0,-200.0,
1516109794242,-0.18489583333333334,0.20052083333333334,9.237931249999999,-1.37845425,2.2350000586737386,-12.225000000000001,0.0,0,-1.3760735,0.0,-320.0,-200.0,
1516109794255,-0.19270833333333334,0.20833333333333334,9.07709375,-1.3546467500000001,1.7558772010694204,-13.387500000000001,0.0,0,-1.3546467500000001,0.0,-320.0,-200.0,
1516109794274,-0.2265625,0.2421875,8.81326875,-1.3236970000000001,1.891078786675272,-13.925,0.0,0,-1.3236970000000001,0.0,-320.0,-200.0,
1516109794295,-0.25,0.265625,8.525237500000001,-1.2713205,2.8102222091067373,-14.55,0.0,0,-1.2713205,0.0,-320.0,-200.0,
1516109794315,-0.25,0.265625,8.202418750000001,-1.1927557500000001,4.470682127599644,-17.0125,0.0,0,-1.1927557500000001,0.0,-320.0,-200.0,
1516109794335,-0.21875,0.234375,7.842350000000001,-1.11657175,2.841838257236646,-20.175,0.0,0,-1.11657175,0.0,-320.0,-200.0,
1516109794354,-0.18489583333333334,0.20052083333333334,7.42083125,-1.076099,1.8912290108929866,-22.762500000000003,0.0,0,-1.07371825,0.0,-320.0,-200.0,
1516109794374,-0.14322916666666666,0.15885416666666666,6.96086875,-1.0332455,2.092185337346486,-23.387500000000003,0.0,0,-1.03086475,0.0,-320.0,-200.0,
1516109794395,-0.1171875,0.1328125,6.4899562500000005,-0.9975342500000001,1.3659215272847236,-22.7875,0.0,0,-0.9975342500000001,0.0,-320.0,-200.0,
